0.0045	-0.0914214288870726	0.0045	-0.693365855329808	0.0045	-1.29539695045519	0.0045	-1.89758148760975	0.0045	-2.49963967240335	
0.0135	-0.0926521414848135	0.0135	-0.693673957548548	0.0135	-1.29547400256715	0.0135	-1.89760075682516	0.0135	-2.49964448981101	
0.0225	-0.0951027701938697	0.0225	-0.694289483058717	0.0225	-1.29562806429291	0.0225	-1.89763929259861	0.0225	-2.49965412446024	
0.0315	-0.0987520215977437	0.0315	-0.695211078761205	0.0315	-1.29585905071069	0.0315	-1.89769708961656	0.0315	-2.49966857601885	
0.0405	-0.103568687804776	0.0405	-0.696436726828898	0.0405	-1.29616683462413	0.0405	-1.89777413991158	0.0405	-2.4996878439886	
0.0495	-0.109512480025461	0.0495	-0.697963758705923	0.0495	-1.29655124678492	0.0495	-1.8978704328659	0.0495	-2.49971192770529	
0.0585	-0.116535069244429	0.0585	-0.699788873466989	0.0585	-1.29701207618869	0.0585	-1.89798595521603	0.0585	-2.49974082633876	
0.0675	-0.124581281518137	0.0675	-0.701908160283534	0.0675	-1.29754907044266	0.0675	-1.89812069105858	0.0675	-2.49977453889305	
0.0765	-0.133590391257628	0.0765	-0.704317124691275	0.0765	-1.29816193620413	0.0765	-1.89827462185724	0.0765	-2.49981306420647	
0.0855	-0.143497455911827	0.0855	-0.707010718308492	0.0855	-1.29885033968805	0.0855	-1.89844772645089	0.0855	-2.49985640095175	
0.0945	-0.154234639269598	0.0945	-0.709983371616888	0.0945	-1.29961390724199	0.0945	-1.89863998106282	0.0945	-2.49990454763616	
0.1035	-0.165732477347055	0.1035	-0.713229029387633	0.1035	-1.30045222598651	0.1035	-1.89885135931114	0.1035	-2.4999575026017	
0.1125	-0.17792104954588	0.1125	-0.716741188314594	0.1125	-1.30136484451872	0.1125	-1.89908183222026	0.1125	-2.50001526402526	
0.1215	-0.190731027456882	0.1215	-0.720512936404883	0.1215	-1.30235127367665	0.1215	-1.8993313682335	0.1215	-2.50007782991885	
0.1305	-0.204094583431727	0.1305	-0.724536993673432	0.1305	-1.30341098736181	0.1305	-1.89959993322682	0.1305	-2.50014519812977	
0.1395	-0.217946150121439	0.1395	-0.72880575369301	0.1395	-1.30454342341727	0.1395	-1.89988749052359	0.1395	-2.50021736634089	
0.1485	-0.232223030065197	0.1485	-0.733311325563293	0.1485	-1.30574798455824	0.1485	-1.90019400091047	0.1485	-2.50029433207088	
0.1575	-0.246865860808919	0.1575	-0.738045575881551	0.1575	-1.30702403935214	0.1575	-1.90051942265435	0.1575	-2.50037609267449	
0.1665	-0.261818945836618	0.1665	-0.743000170322266	0.1665	-1.30837092324513	0.1665	-1.90086371152032	0.1665	-2.50046264534284	
0.1755	-0.277030464859683	0.1755	-0.748166614462679	0.1755	-1.30978793963153	0.1755	-1.90122682079068	0.1755	-2.50055398710373	
0.1845	-0.292452578888881	0.1845	-0.75353629352476	0.1845	-1.31127436096311	0.1845	-1.90160870128497	0.1845	-2.50065011482193	
0.1935	-0.308041446232893	0.1935	-0.75910051074048	0.1935	-1.31282942989449	0.1935	-1.90200930138096	0.1935	-2.50075102519958	
0.2025	-0.323757165372947	0.2025	-0.764850524085416	0.2025	-1.31445236046146	0.2025	-1.9024285670367	0.2025	-2.5008567147765	
0.2115	-0.339563659799129	0.2115	-0.770777581164847	0.2115	-1.31614233928837	0.2115	-1.90286644181344	0.2115	-2.50096717993061	
0.2205	-0.3554285185817	0.2205	-0.776872952075551	0.2205	-1.3178985268214	0.2205	-1.90332286689953	0.2205	-2.50108241687826	
0.2295	-0.371322804877677	0.2295	-0.783127960104888	0.2295	-1.3197200585838	0.2295	-1.90379778113527	0.2295	-2.50120242167472	
0.2385	-0.387220842889533	0.2385	-0.789534010165599	0.2385	-1.32160604644983	0.2385	-1.90429112103859	0.2385	-2.50132719021456	
0.2475	-0.403099992112048	0.2475	-0.796082614899708	0.2475	-1.32355557993372	0.2475	-1.9048028208317	0.2475	-2.50145671823209	
0.2565	-0.418940416105008	0.2565	-0.802765418417287	0.2565	-1.32556772749025	0.2565	-1.90533281246846	0.2565	-2.50159100130185	
0.2655	-0.434724851564827	0.2655	-0.809574217665568	0.2655	-1.3276415378235	0.2655	-1.90588102566278	0.2655	-2.50173003483907	
0.2745	-0.450438382166143	0.2745	-0.816500981450475	0.2745	-1.32977604120044	0.2745	-1.90644738791761	0.2745	-2.50187381410019	
0.2835	-0.466068220516226	0.2835	-0.823537867156166	0.2835	-1.33197025076602	0.2835	-1.90703182455489	0.2835	-2.50202233418334	
0.2925	-0.481603500609916	0.2925	-0.830677235228477	0.2925	-1.33422316385673	0.2925	-1.90763425874617	0.2925	-2.5021755900289	
0.3015	-0.497035082381348	0.3015	-0.837911661505248	0.3015	-1.33653376330936	0.3015	-1.908254611544	0.3015	-2.50233357642	
0.3105	-0.512355369306652	0.3105	-0.845233947490619	0.3105	-1.33890101876218	0.3105	-1.90889280191401	0.3105	-2.50249628798314	
0.3195	-0.52755813950207	0.3195	-0.852637128681503	0.3195	-1.34132388794552	0.3195	-1.90954874676771	0.3195	-2.50266371918874	
0.3285	-0.542638390366752	0.3285	-0.860114481062824	0.3285	-1.34380131795923	0.3285	-1.9102223609959	0.3285	-2.50283586435172	
0.3375	-0.557592196521255	0.3375	-0.867659525894048	0.3375	-1.34633224653424	0.3375	-1.9109135575028	0.3375	-2.50301271763214	
0.3465	-0.572416580575238	0.3465	-0.875266032913085	0.3465	-1.34891560327599	0.3465	-1.91162224724064	0.3465	-2.50319427303581	
