%Model - SDAμa=0.0198 μs'=1.9800 (X)	Model - SDAμa=0.0198 μs'=1.9800 (Y)	

0	0.655033251451999	
0.01	0.651042228330285	
0.02	0.639647498314495	
0.03	0.622323193519373	
0.04	0.600880165022784	
0.05	0.576993320188098	
0.06	0.551980618450106	
0.07	0.526778176289303	
0.08	0.502004330978583	
0.09	0.478042331238541	
0.1	0.45511224224434	
0.11	0.433325116075433	
0.12	0.412721140035904	
0.13	0.393295586529366	
0.14	0.375016134470698	
0.15	0.357834298569292	
0.16	0.341692903058823	
0.17	0.326530920839682	
0.18	0.312286563852386	
0.19	0.29889921459361	
0.2	0.286310590992756	
0.21	0.274465405700515	
0.22	0.263311693911811	
0.23	0.252800926117882	
0.24	0.242887983708222	
0.25	0.233531049592377	
0.26	0.224691448703618	
0.27	0.216333461569406	
0.28	0.208424126232272	
0.29	0.200933038449008	
0.3	0.19383215646478	
0.31	0.187095614201176	
0.32	0.180699545041018	
0.33	0.174621917285253	
0.34	0.168842381626488	
0.35	0.163342130510378	
0.36	0.158103768960099	
0.37	0.153111196263113	
0.38	0.148349497825184	
0.39	0.143804846456864	
0.4	0.139464412353903	
0.41	0.135316281052253	
0.42	0.13134937867169	
0.43	0.127553403803504	
0.44	0.12391876544299	
0.45	0.120436526414009	
0.46	0.117098351778703	
0.47	0.113896461769577	
0.48	0.110823588822785	
0.49	0.107872938330334	
0.5	0.10503815276481	
