%Model - SDAμa=0.0396 μs'=3.9600 (X)	Model - SDAμa=0.0396 μs'=3.9600 (Y)	

0.5	0.156598798706838	
1	0.0409299406577807	
1.5	0.014347514320469	
2	0.00586295618506672	
2.5	0.00265266678334588	
3	0.00129060394335743	
3.5	0.00066266895403401	
4	0.000354560071692933	
4.5	0.000195940710149947	
5	0.000111129445799111	
5.5	6.43802474057671E-05	
6	3.79614084032393E-05	
6.5	2.27194484756799E-05	
7	1.37712737435055E-05	
7.5	8.43947523016519E-06	
8	5.22165923962754E-06	
8.5	3.25798803616515E-06	
9	2.04795122633638E-06	
9.5	1.29588785955531E-06	
